"","Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class","Headwidth_numeric"
"1",1,1,109,45,1.895,">43",45
"2",1,1,120,43,1.811,"40-43",43
"3",1,1,94,42,1.768,"40-43",42
"4",1,1,61,33,1.389,"30-34",33
"5",1,1,72,41,1.726,"40-43",41
"6",1,1,134,46,1.937,">43",46
"7",1,1,94,43,1.811,"40-43",43
"8",1,1,113,42,1.768,"40-43",42
"9",1,1,111,42,1.768,"40-43",42
"10",1,1,106,43,1.811,"40-43",43
"11",1,1,107,46,1.937,">43",46
"12",1,1,96,42,1.768,"40-43",42
"13",1,1,53,33,1.389,"30-34",33
"14",1,1,121,44,1.853,">43",44
"15",1,1,85,44,1.853,">43",44
"16",1,1,115,45,1.895,">43",45
"17",1,1,109,46,1.937,">43",46
"18",1,1,105,39,1.642,"35-39",39
"19",1,1,93,39,1.642,"35-39",39
"20",1,1,103,42,1.768,"40-43",42
"21",1,1,110,44,1.853,">43",44
"22",1,1,94,40,1.684,"40-43",40
"23",1,4,91,42,1.768,"40-43",42
"24",1,4,161,46,1.937,">43",46
"25",1,4,44,28,1.179,"<30",28
"26",1,4,87,40,1.684,"40-43",40
"27",1,4,107,46,1.937,">43",46
"28",1,4,107,41,1.726,"40-43",41
"29",1,4,86,40,1.684,"40-43",40
"30",1,4,91,38,1.6,"35-39",38
"31",1,4,156,43,1.811,"40-43",43
"32",1,4,95,43,1.811,"40-43",43
"33",1,4,95,42,1.768,"40-43",42
"34",1,4,98,42,1.768,"40-43",42
"35",1,4,72,37,1.558,"35-39",37
"36",1,4,76,39,1.642,"35-39",39
"37",1,4,154,43,1.811,"40-43",43
"38",1,4,34,28,1.179,"<30",28
"39",1,4,125,47,1.979,">43",47
"40",1,4,51,32,1.347,"30-34",32
"41",1,4,83,39,1.642,"35-39",39
"42",1,4,36,29,1.221,"<30",29
"43",1,4,105,42,1.768,"40-43",42
"44",1,4,63,36,1.516,"35-39",36
"45",1,4,49,33,1.389,"30-34",33
"46",1,4,91,42,1.768,"40-43",42
"47",1,4,104,43,1.811,"40-43",43
